run_id,dataset,policy,families,n_views,n_samples,ci_excludes_zero,rescue_rate,mcnemar_p,ci_low,harm_rate,delta_accuracy,bootstrap_seed,ci_high
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,1,3421,True,0.2607655502392344,1.1386181707197604e-290,-0.4624378836597486,0.5424575424575424,-0.4443145279158141,7772174930547960112,-0.4253069277988893
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,2,3421,True,0.24162679425837322,8.833465465587732e-288,-0.45542239111370947,0.5311355311355311,-0.43671441099093833,17744866085824632005,-0.4185910552470038
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,5,3421,True,0.2966507177033493,1.8110443541233252e-228,-0.38322128032738967,0.45754245754245754,-0.3653902367728734,8669719712783655704,-0.3466822566501023
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,10,3421,True,0.27751196172248804,1.0721031197013775e-208,-0.3534054370067231,0.4199134199134199,-0.334697456883952,16676869210304849907,-0.3165741011400176
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,25,3421,True,0.2631578947368421,8.117316439508568e-194,-0.32914352528500446,0.3916083916083916,-0.3116047939199065,17382696772361217581,-0.29377375036539033
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,50,3421,True,0.26555023923444976,6.196215814823968e-186,-0.3189125986553639,0.37995337995337997,-0.30108155510084766,7384720772401349468,-0.2832505115463315
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,none,H1|H2|H3,100,3421,True,0.27751196172248804,3.001357680258918e-175,-0.3060508623209587,0.366966366966367,-0.28821981876644254,8093274550300465174,-0.27068108740134467
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,1,3421,True,0.2804878048780488,2e-322,-0.498099970768781,0.5602974458454575,-0.4796843028354283,10222858596199268108,-0.4612686349020754
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,2,3421,True,0.2621951219512195,2.805184414640218e-292,-0.45425314235603625,0.5098609763983187,-0.43583747442268345,8324678343284921574,-0.41800643086816724
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,5,3421,True,0.29573170731707316,9.575800752145669e-250,-0.40105232388190587,0.45489815712900095,-0.3829289681379714,5154445687878992640,-0.36480561239403686
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,10,3421,True,0.32621951219512196,2.249834575648352e-224,-0.37035954399298454,0.4245069511800841,-0.3525285004384683,9520091197739160641,-0.3341128325051155
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,25,3421,True,0.32926829268292684,9.332470648356994e-219,-0.3630517392575271,0.4167474943420627,-0.34522069570301084,9770987876446183584,-0.3270973399590763
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,50,3421,True,0.35060975609756095,3.299780990933236e-209,-0.3534054370067231,0.4076947946977045,-0.3349897690733704,8142253687881374458,-0.31715872551885416
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,none,H1|H2|H3,100,3421,True,0.3475609756097561,5.654924427965092e-207,-0.3496053785442852,0.4034917555771096,-0.3314820228003508,10584747726180621086,-0.3136509792458345
