run_id,dataset,n_views,bn_vs_naive_ci_high,bn_vs_clean_ci_low,bn_vs_clean_ci_high,bn_vs_naive_ci_low,bn_delta_vs_naive,bn_vs_naive_excludes_zero,bn_vs_clean_excludes_zero,bn_delta_vs_clean
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,1,0.38614440222157265,-0.09032446653025439,-0.06781642794504528,0.3440514469453376,0.36539023677287347,True,True,-0.07892429114294064
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,2,0.3589593686056709,-0.11137094416837179,-0.08681672025723475,0.31569716457176267,0.337620578778135,True,True,-0.09909383221280332
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,5,0.29552762350190004,-0.10318620286465952,-0.07863197895352236,0.25255773165741013,0.27448114586378247,True,True,-0.09090909090909094
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,10,0.2572347266881029,-0.11107863197895362,-0.08652440806781647,0.21426483484361292,0.2358959368605671,True,True,-0.09880152002338494
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,25,0.23736480561239393,-0.10757088570593398,-0.08301666179479683,0.19526454253142356,0.21631102016954107,True,True,-0.09529377375036541
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,50,0.22215726395790703,-0.11312481730488155,-0.08857059339374451,0.1788950599239989,0.20052616194095285,True,True,-0.10055539315989481
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,100,0.20667202572347265,-0.11487869044139132,-0.090032154340836,0.1642794504530839,0.18591055247003796,True,True,-0.10230926629640458
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,1,0.39052908506284717,-0.12218649517684887,-0.09880152002338494,0.3475591932183572,0.3691902952353113,True,True,-0.11049400760011696
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,2,0.3019584916691026,-0.17012569424144985,-0.14352528500438477,0.2566501023092663,0.27915814089447527,True,True,-0.15667933352820818
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,5,0.24437299035369775,-0.17421806489330605,-0.14761765565624085,0.19964922537269814,0.22215726395790703,True,True,-0.16077170418006437
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,10,0.20549546916106398,-0.18298743057585498,-0.15551008477053496,0.1601870798012277,0.18327974276527326,True,True,-0.16924875767319503
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,25,0.20461853259280915,-0.17684887459807075,-0.14995615317158728,0.15931014323297288,0.18181818181818177,True,True,-0.16340251388482907
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,50,0.18737211341712956,-0.18474861151710026,-0.15726395790704473,0.14060216311020168,0.16398713826366562,True,True,-0.1710026308097048
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,100,0.18181818181818177,-0.18591055247003796,-0.15872551885413622,0.1365097924583455,0.15931014323297277,True,True,-0.172171879567378
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,1,0.4831920491084478,-0.10260157848582285,-0.08038585209003213,0.43963753288512136,0.46156094709149376,True,True,-0.09149371528792749
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,2,0.4106986261327097,-0.14615609470914936,-0.12101724641917566,0.3650979245834552,0.38789827535808247,True,True,-0.1335866705641625
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,5,0.38497515346389943,-0.15200964630225083,-0.12627886582870507,0.33762057877813506,0.36159017831043555,True,True,-0.1391406021631102
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,10,0.36977491961414793,-0.1560947091493715,-0.13007892429114298,0.32271265711780184,0.346389944460684,True,True,-0.1429406606255481
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,25,0.3744519146448406,-0.1549254603916983,-0.12890967553346977,0.3265127155802397,0.3504823151125402,True,True,-0.1417714118678749
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,50,0.3738672902660041,-0.15551008477053496,-0.12949429991230632,0.3256357790119848,0.34960537854428525,True,True,-0.14264834843612983
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,100,0.37679041216018705,-0.15580239695995324,-0.13007892429114298,0.3288512130955861,0.35311312481730484,True,True,-0.1429406606255481
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,1,0.49488453668517984,-0.1031862028646594,-0.07366267173341123,0.45454545454545453,0.47500730780473543,True,True,-0.08827828120432624
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,2,0.4627301958491669,-0.13680210464776377,-0.10435545162233273,0.42092955276235017,0.4419760304004676,True,True,-0.12043262204033911
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,5,0.413914060216311,-0.14790996784565913,-0.11546331482022798,0.37065185618240276,0.392282958199357,True,True,-0.13154048523823436
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,10,0.41449868459514766,-0.14615609470914948,-0.11400175387313649,0.3706518561824028,0.39257527038877515,True,True,-0.13037123648056126
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,25,0.3992984507453961,-0.1496711487869044,-0.11750950014615613,0.35515200233849753,0.37737503653902366,True,True,-0.1335866705641625
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,50,0.4048523823443438,-0.1484945922244958,-0.11634025138848292,0.36042092955276234,0.38263665594855306,True,True,-0.1324174218064893
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,100,0.419760304004677,-0.14235603624671145,-0.10961707103186202,0.37562116340251395,0.39783688979830456,True,True,-0.1259865536392868
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,1,0.5486699795381468,-0.12540192926045013,-0.09880152002338494,0.5095001461560946,0.5290850628471206,True,True,-0.11195556854720845
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,2,0.555685472084186,-0.13212510961707102,-0.10434814381759727,0.5168079508915522,0.5361005553931599,True,True,-0.11809412452499268
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,5,0.5285004384682841,-0.1484945922244958,-0.11984799766150245,0.4881613563285589,0.5083308973984215,True,True,-0.13417129494299906
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,10,0.5483776673487284,-0.13037123648056126,-0.10201695410698619,0.5080385852090032,0.5282081262788658,True,True,-0.11575562700964626
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,25,0.5574393452206957,-0.13270973399590769,-0.10406313943291434,0.5168079508915522,0.537269804150833,True,True,-0.11838643671441096
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,50,0.5586085939783688,-0.1365097924583456,-0.10815551008477053,0.517684887459807,0.5384390529085064,True,True,-0.12247880736626715
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,100,0.5600701549254604,-0.14206372405729317,-0.11312481730488166,0.5200233849751534,0.540192926045016,True,True,-0.12774042677579656
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,1,0.45922244957614733,-0.1324174218064893,-0.10523238819058756,0.4180064308681672,0.43876059631686637,True,True,-0.11897106109324762
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,2,0.4086524408067817,-0.17187956737795962,-0.14264834843612983,0.36772873428821984,0.3887752119263373,True,True,-0.15697164571762645
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,5,0.35194387605963173,-0.1867874890382929,-0.1578485822858814,0.30751242326805023,0.33031277404267756,True,True,-0.172171879567378
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,10,0.3478588132125109,-0.18591055247003796,-0.1563870213387899,0.3037123648056124,0.3259280912014031,True,True,-0.1710026308097048
